Input,Output
sotaool,sotalol
ansapas,anaspas
amizilid,amizolid
actk,acto
logaba,clogaba
amsory,amsort
aavimet,avimet
pripranolol,propranolol
aprifon,aptifon
nartogrsatim,nartograstim
aryhrovit,arthrovit
slidoxime,alidoxime
amicox,amicod
arpuv,apruv
cosaant,cosant
biocilun,biocilin
clingrad,clingard
citiriot,citiript
apna,apan
amviabst,amvibast
bupjcort,bupicort
duroxyllin,curoxyllin
chplinesave,cholinesave
caelocast,acelocast
amitroyy,amitroy
corect,corect
alcifort,alcicort
citcotjs,citcotis
ismis,dismis
fyphos,cyphos
aliagal,alkagal
anudox,aneudox
clonaec,clonace
cortksal,cortisal
aanitro,anitro
ceftdagod,ceftragod
allitopox,allitopod
amoxtyis,amoxytis
cremmapeg,cremapeg
azid,amzid
cefplez,cefplex
cinmaac,cinmac
fresar,cresar
azcypt,azicypt
amisal,amizal
cefusa,cefrusa
qkik,akik
clordies,clordise
aalifix,alifix
arjsmol,arismol
askvol,asivol
clavdi,clavid
acuvel,acugel
ckaz,ciaz
aolac,aolacin
amodux,amodux
citalodsp,citalodep
cefspic,cefspic
astobane,astoband
trametinib,trametinib
cipornat,cipronat
azen,anzen
abomim,abonim
cchew,chew
dexodl,dexodil
alodin,alocin
coonogem,clonogem
coldtex,coldtez
cegalex,cefalex
cepebta,cepenta
fipure,cipure
cooicetam,colicetam
zprenext,aprenext
bcazin,baczin
sofosbufir,sofosbuvir
cortiswl,cortisal
acudol,acidol
adioam,adipam
chber,cyber
cypja,cypja
anvoxib,ancoxib
azigoow,aziglow
averzie,averzine
clnivan,clinvan
closid,closidin
etodicoxib,etoricoxib
ariola,atiola
hclopro,chlopro
cilamp,cipamp
cilbas,cilabs
cfochem,cifochem
amystakl,amystall
ambokof,ambrokof
bupred,bupred
zztatin,aztatin
axin,alaxin
kynestrenol,lynestrenol
acko,aclo
cypronsk,cypronak
sclogm,aclogm
chlormiinc,chlorminic
beclase,becloase
brenlx,brenlax
oblt,bolt
cefibq,cefiba
clociip,clocip
colbid,clobid
qtizol,atizol
wspidot,aspidot
fulata,dulata
certirox,ceftirox
cebrrol,cebrol
avifam,avifam
crfnew,cefnew
citnaz,citanz
cefda,cefra
cutetax,curetax
aiicyp,akicyp
bleomyc,bleomycin
casoyyn,casogyn
askzpyrin,askapyrin
appoxid,apoxid
budenest,budebest
alhuprime,albuprime
bantli,bantil
btozeet,brozeet
amdind,amdine
camppto,campto
cljntin,clintin
clpifod,clopifod
cydef,cudef
amikwcis,amikacis
benzyadmine,benzydamine
coxitr,coxitor
cavgen,clavgen
camruta,carmuta
cefdlo,cefclo
clindkxyl,clindoxyl
acogdsic,acogesic
xidazo,cidazo
colcirt,colcort
curilite,curilite
bwnfizole,benfizole
duhalac,duphalac
ctiled,citled
acnertin,acnetrin
aedion,aedion
clget,coget
bcup,bcyp
dcoff,decoff
catarhil,catarnil
clocian,clocain
aliozle,alizole
wldace,aldace
cegazid,cefazid
amodiaquinr,amodiaquine
alwrsin,alersin
cilcold,cilcold
cinarem,cinnarem
acip,acipro
srtither,artither
brziol,brizol
ethambuol,ethambutol
oxiconazooe,oxiconazole
aceniff,acenift
ceftorcis,ceftrocis
atorfir,atorvir
iopamidool,iopamidol
fambisalic,cambisalic
anxol,anzol
arixonr,arixone
qtoap,atoap
damox,damoxy
xefucure,cefucure
bactllev,bactolev
acixpas,acispas
sdapen,adapen
azitrhst,azitrust
abamund,abamune
aecpara,acepara
atrhodia,arthodia
cgcoljne,cgcoline
qmoxise,amoxise
alveder,albeder
citimmox,citimox
avitrqx,avitrax
bestodpl,bestodol
bisomnie,bisomine
ccolep,colep
alcycln,alcyclin
stortin,atortin
iboxecam,bioxecam
dapahold,dapagold
wlsigra,alsigra
apod,avpod
clozahest,clozabest
avgar,avgat
amiox,ambiox
acostaf,acostar
lerwell,allerwell
affinuw,affinus
azd,azod
bripam,brispam
cals,calscy
clavesrch,clavserch
cutisofy,cutisoft
adizolif,adizolid
clozp,clozip
ceftre,ceftore
cefzoox,cefzox
cufalo,cyfalo
acet,akcet
diaamicron,diamicron
colrine,colorine
cynir,cynor
srtigo,artigo
axibrax,azibrax
cicik,cidik
amclool,amclosol
clovun,clovin
azispna,azispan
colddwor,coldwor
apalnee,apalene
cefinofa,cefinova
bacfrim,bactrim
cefpov,cefpovec
azzilok,azilok
azigrite,azibrite
ciprola,ciprolar
beaanxi,beatanxi
wzitl,azitl
asomev,asomef
acpx,acpyx
betasya,betasys
cinamat,cinamat
amroshs,amrosys
acecace,acedace
afdvlav,afdclav
clibcure,clincure
ciftun,ciftin
octionxate,octinoxate
artikimde,artikinde
rupatadind,rupatadine
cobera,cobeta
dleen,cleen
allerrine,allerdine
etidronats,etidronate
allyt,allut
cozzl,cozal
avastatin,pravastatin
depranik,depranil
cefacek,cefacel
accugli,accuglim
chomof,chomfo
caxer,caser
conbo,congo
cypfro,cyptro
wret,aret
phalkem,cephalkem
althofllx,althoflox
byedrgl,byedryl
azickat,azicoat
binage,binate
chwkcid,chekcid
aaxime,anaxime
azqdine,azadine
aldio,aldip
ceftaib,ceftavib
bbovose,bovose
henylalanine,phenylalanine
vlonem,clonem
bowe,bowell
blusartna,blusartan
amobox,amlobox
acerec,acetec
clarinade,clarinase
acvacort,advacort
xamx,axmx
cuoxyllin,curoxyllin
asferisk,asterisk
arodiil,arodil
szegud,azegud
cexiin,cexin
antiflmae,antiflame
cifomist,cicomist
atodase,arodase
rtiff,cortiff
crfos,cefos
atcenac,arcenac
azej,azem
azatrra,azatra
celfox,ceflox
calcrest,calcirest
pozac,prozac
apomatime,apomatine
cygroflyvin,cygrofluvin
ccold,cycold
clobitla,clobital
wnitex,anitex
aazoica,azoica
aodine,anodine
aarzole,arzole
vrimofinet,brimofinet
caerzid,carezid
aquaahine,aquashine
acridd,acrid
amidne,amidone
dpaoxy,dapoxy
alro,alpro
vinblastiine,vinblastine
amok,amom
axodis,azodis
comore,comore
assidl,assidol
ambic,amnic
cystcare,crystcare
abiciid,abicid
bacisukf,bacisulf
adpaar,adpar
ciralodep,citalodep
cmpxin,cmoxin
acifamme,acifame
crmool,cromol
avnib,abnib
clcin,clycin
carocid,carbocid
hymotip,chymotip
crfucare,cefucare
ecan,aecan
corseet,corset
qdcov,adcov
cinavlo,cinavol
qnatec,anatec
abicer,abicer
appeccon,appecon
azixoft,azisoft
behisky,benisky
zzathent,azathent
citzlo,citalo
ahtdom,athdom
rvia,cervia
acceclimax,acceclomax
cylogest,cyclogest
cofdee,cofree
edaeavone,edaravone
misoprlstol,misoprostol
azicynn,azicyn
bilcclav,bilclav
caidlow,acidlow
cortiu,cortium
cobad,cobadef
avyat,avgat
ccaad,ccad
combiitaz,combitaz
atkcer,atocer
dolozwift,doloswift
biaolol,bisolol
clavpuk,clavluk
adybest,adygest
cleaarcne,clearacne
azirog,azirob
dhymotrip,chymotrip
boseentan,bosentan
afnetoin,acnetoin
acutc,acutec
alzzp,alzap
aminex,aminexil
afme,arme
cheridrtl,cheridryl
closeiil,closeil
robrim,arobrim
comvikind,combikind
cupremi,cipremi
rerab,curerab
amtspas,antspas
benpoe,benpod
cefodoa,cefodoz
aakin,azkin
qmdonex,amdonex
clarome,claromed
coniset,conizet
bactel,baxtel
bdimox,bodimox
cipdsc,cipdec
achdrox,acudrox
cirudcca,cirudca
dometaz,donetaz
cinetro,cinetor
lfutag,alfutag
acotvin,actovin
neclomon,beclomon
cstvent,cetvent
budedal,budesal
criticlod,criticold
cadiciteon,cadicitron
cilcox,cilclox
blkx,blox
cepodus,cepocus
xolprex,colprex
mipril,amipril
aconmfe,aconmef
chymodxe,chymodex
cyprotne,cyprotone
cefiotx,cefitox
afdjlinz,afdilinz
bisaxolax,bisacolax
clochico,colchico
ceftasatr,ceftastar
azitrrex,azitrex
ddarif,darif
bectol,bectolox
anktam,anitam
cybim,cybin
ictitop,cititop
cxkme,cxime
deslorztadine,desloratadine
smstar,amstar
cyprolkx,cyprolix
amxoipen,amoxipen
cypatex,cypatec
latab,altab
clavoo,clavol
alchek,calchek
corecf,corect
bimtet,bitmet
cituben,citiben
alop,alopar
ceftam,ceftam
zzicliff,azicliff
icprocore,ciprocore
smzaris,amzaris
clinrdella,clindrella
zzyle,azyle
careicap,cardicap
ceclosno,cecloson
deftes,ceftes
atopin,atolin
atayd,atyad
cfish,cofish
cefvrey,cefgrey
clipsn,clipan
candiwar,candiwar
croomed,cromed
etros,cetros
caripdazine,cariprazine
cronala,crobala
bizt,biztel
cooset,closet
citamycjn,citamycin
crdx,crex
acupsn,acupan
aryeria,arteria
azimof,azimov
ciancild,ciancold
zcevion,acevion
ellum,bellum
aaita,azita
anazone,anazone
cfeutic,cefutic
alltsc,alltec
alcucon,alfucon
coldasee,coldase
centriic,centric
rox,brox
cediroxx,cefiroxx
dioosmin,diosmin
hriocold,briocold
dufam,dutam
xetarap,cetarap
ajralic,akralic
boistrix,boostrix
alreest,alrest
amiyrix,amitrix
cufwxim,cufexim
curirb,curirab
cromolein,cromolexin
cciplar,ciplar
cetyl,ceryl
acilovin,aciclovin
cefperqz,cefperaz
anngiosart,angiosart
clonarix,clonatrix
vorty,corty
cyprsoon,cyproson
azamm,azam
fomperidone,domperidone
zzithrovan,azithrovan
baclwsis,baclasis
cptoglo,captoglo
cutoglim,cytoglim
becloas,beclotas
bacctroban,bactroban
mrox,camrox
brlscaphene,broscaphene
apopfide,apopride
azibos,aziboss
ibtelsar,bitelsar
atiro,afiro
clindaccef,clindacef
cdlexa,celexa
binafiit,binafit
coocef,clocef
aalfa,alfa
aefoflox,aeroflox
azzitrust,azitrust
amik,amick
cefi,cefiez
wellbutrni,wellbutrin
aacimar,acimar
cfzle,cfzole
asdicll,asdiclo
arij,arijoy
zmlowood,amlowood
acfen,acfen
abmolav,abmolac
alviol,alvizol
azonet,azinet
clariin,claridin
daapblis,dapablis
calbonaye,calbonate
adentroox,adentrox
acpace,capace
coxiblu,coxiblu
apodid,apocid
clonitlin,clonitoin
clizol,clozol
anigeet,anigest
qriforte,ariforte
arizib,arizin
clmef,comef
cegfchem,ceffchem
ciafix,citafix
ctzoc,ctzox
angiotl,angiotel
biprotae,biproate
aceizp,acezip
cefimoond,cefimond
glutatbione,glutathione
nicolumab,nivolumab
bxclav,bmxclav
baclvoin,baclovin
crfamex,cefamex
clamocid,clamocid
cipromycdtin,cipromycetin
xemlyo,cemlyo
algomer,alvomer
aolymac,allymac
detba,detab
citicre,citicure
aquafenac,aquafenac
anxeronn,anxeron
slfolic,alfolic
ceficrat,ceficrat
cozaruk,cozarik
axjmox,aximox
calure,calured
coxicevi,coxicefi
albelez,albelex
briodin,brimodin
azzap,azizap
acebrovih,acebrovin
bme,bome
zenzo,aenzo
ocrtisym,cortisym
clariwar,clariwar
ailear,azilear
cefrajob,cefrajon
didamol,dicamol
catelact,carelact
cloent,clogent
blhnac,blunac
coligin,cologin
coldd,coldid
sarogliatzar,saroglitazar
amonnil,amonil
cipln,ciplen
atrjxone,atrixone
ascryl,asicryl
amoxyyrag,amoxyrag
cefbacta,cefbactam
flospeed,clospeed
clavko,clavio
cetrigkne,cetrigine
augeo,augeoz
efar,cefar
cintig,cintigo
sivomi,aivomi
coloant,coolant
zverzine,averzine
cetronetx,cetronext
cefilzb,cefilab
cetrittab,cetritab
alerzco,alerzoc
acgesjc,acgesic
aklotes,amlotes
gromoxy,bromoxy
ahloxa,anloxa
cefoff,ceforf
tformin,metformin
caprioox,caprilox
zfdiloc,afdiloc
credagw,credage
auclann,auclan
labrin,albrin
crommy,cromy
cobyazm,cobyzam
aypuan,ayupan
choordica,chlordica
ocrtifeed,cortifeed
cetwrap,cetarap
citival,citical
aszyb,axzyb
bely,belay
lcozep,clozep
amikoa,amikos
qoxime,aoxime
pratropium,ipratropium
etron,betron
wfrax,afrax
acecddoz,acecdoz
clindaprl,clindapro
cincos,clincos
defoxin,cefoxin
citonol,citinol
asusten,aqsusten
axetuc,axetic
ceoldt,ceolet
secin,aecin
aceclopuer,aceclopure
bioaone,biozone
aazicip,azicip
biomyxi,biomyxib
agivog,abivog
ceficidal,ceficidal
acefn,acfen
zripraz,aripraz
ammivor,amivor
codlked,coldked
androtws,androtas
cerwtop,ceretop
albezile,albezole
zzth,azth
qxiom,axiom
clofighr,clofight
cebaceff,cebacef
cgpam,cgpan
bpropion,bupropion
atrocrod,atrocord
biotrexste,biotrexate
lavwin,clavwin
brnforce,benforce
abirzt,abirat
bladtoplatin,blastoplatin
becakox,becamox
acwhim,acehim
amrer,amter
citammycin,citamycin
candixon,candicon
aecflox,aceflox
agojil,agonil
atorrest,atortest
clipirest,clopirest
ceftrari,ceftraript
adtharon,astharon
cefpollar,cefpolar
channrl,channel
clinrazac,clindazac
agriokf,agrikof
smlopril,amlopril
qlepride,alepride
augul,augulab
cwndicon,candicon
indacaterl,indacaterol
cyprpset,cyproset
bempesta,bempesta
carenav,carenac
cfphlox,cufphlox
alpradrwam,alpradream
cofcare,cofcare
avqce,avace
acjthio,acithio
clovitrare,clovitrate
actiin,actin
cafidol,cafidol
antozoe,antozole
dinosus,dinosis
aritazz,aritaz
acticuf,acticuf
czmforte,camforte
cfeocef,cefocef
propafebone,propafenone
anziefn,anzifen
anitril,amitril
ciinarin,cinarin
cloea,closa
clotrindx,clotrinex
dermicratt,dermicraft
cjmetiget,cimetiget
ckrmax,cormax
aartnus,artnus
dpressij,dpressin
ceftraol,ceftarol
anepace,abepace
ampigsrd,ampigard
calid,calsid
cpearbet,clearbet
alree,alfree
brispod,brispod
acedepp,acedep
ctper,ctpera
copa,copax
aeldyl,aeldryl
xefpodence,cefpodence
zeetop,azeetop
adol,avdol
cerika,cefika
algosdt,algoset
sxyclav,axyclav
ofazimine,clofazimine
ctaacof,catacof
alvsstatin,alvastatin
cuticera,cutivera
cdlpazone,celpazone
xefuwal,cefuwal
cgclomeff,cyclomeff
axofil,axotil
ahtap,antap
cinaf,cinar
atrowepl,atrowell
cefdacc,cefdac
cwfisid,cefisid
blaztete,blaztere
aelzithrro,aelzithro
efnew,cefnew
neclomin,beclomin
adoclinn,adoclin
areufact,arsufact
betacei,betacefi
cadriforce,cardiforce
cefcolox,cefoclox
lenvatinub,lenvatinib
brifkam,briflam
bknzela,bonzela
rofecoxbi,rofecoxib
clopealic,clopsalic
cefotxim,cefotaxim
axrofil,asrofil
actisom,actidom
dyddrojoy,dydrojoy
cotson,cofson
cetgo,cergo
crfudenz,cefudenz
eofen,aceofen
combjnam,combinam
clotrin,clotrim
anirext,anirest
carbamazepine,carbamazepine
oless,coless
biobidaj,biobidan
actad,actax
cofniz,cofnix
canizon,canison
epinastiine,epinastine
selegiljne,selegiline
azirv,azirav
aquum,aquim
arilfu,ariflu
betalkve,betalive
rutib,rutin
lixin,colixin
assllyn,assolyn
bbrumed,brumed
bitklf,bitkof
angizaae,angizaar
alparsant,alprasant
azahtis,azathis
ceprucib,ceprucin
cetrimo,cetrimont
cotac,citac
abfin,abcin
ceftaceff,ceftacef
cefocqd,cefocad
acrinorm,actinorm
indomethacjn,indomethacin
closer,closera
xosbact,cosbact
acivkctor,acivictor
corate,corbate
aanxo,anxo
barohost,barohist
vdterbin,bdterbin
cobamedd,cobamed
aobiotic,axobiotic
zlbelex,albelex
cafolwc,cafolac
acupam,acupan
cegxetil,cefxetil
clipot,clipof
aldox,alfox
cefideb,cefiden
axiiool,axikool
criptl,criptal
aapomox,apomox
sllerhin,allerhin
bioliinx,biolinx
cconcox,concox
antwaaq,antawaq
bormocin,bromocin
celcox,celcox
ecpy,cepy
amloocon,amlocon
clovit,clovir
acttivo,activo
vefreek,cefreek
colvrin,colfrin
bendwr,bender
ziritis,airitis
actpwin,actowin
crocimaax,crocimax
clkndrella,clindrella
adtorvas,astorvas
axet,axetim
carbokrm,carbokem
azroo,azro
tanol,betanol
buphsnine,buphenine
sceair,aceair
algbaa,algaba
careckp,carecip
pitroy,bupitroy
ccilapine,cilapine
beaa,beza
onabris,clonabris
albent,albent
afaasma,afasma
ceffdicare,cefdicare
aptifno,aptifon
ganirelxi,ganirelix
anxbrium,anxibrium
cindlex,cinflex
cyclot,cyclotak
cefbaoon,cefaboon
diloma,dilona
cyfkof,cyfkod
sargramosyim,sargramostim
completr,complete
codil,clodil
closdd,closed
bjselin,buselin
cegari,cefari
smpril,ampril
cijcillin,cincillin
citzne,citzen
cecodil,cefodil
acich,acichol
aeotab,aeorab
conqpe,conape
clorrap,clorap
citibarin,citibrain
cefaewll,cefawell
dovil,covil
xiproglen,ciproglen
erfix,cerfix
citmiox,citimox
ckso,ciso
arleex,arlex
blastofen,blastofen
aceyon,aceton
naxond,baxond
abacttum,abactum
acarwim,acarwin
cyprjg,cyprig
ditliazem,diltiazem
lcarispey,clarispey
bendamax,bendamax
ecftrian,ceftrian
fuxime,cefuxime
cerecsum,cereceum
aptel,aptel
ceetwell,cetwell
aurnia,aurnida
qmoxycillin,amoxycillin
clncure,clincure
ceebrod,ceebrodac
acelopar,acelopara
cefdm,cefem
cowovo,cosovo
aaticlav,aticlav
nrowin,browin
acse,acsent
fadov,cefadov
lclav,celclav
anidest,anirest
afprox,atprox
duphastoh,duphaston
atocaan,atocan
copgrin,cophrin
azora,azorta
atixus,aticus
coniva,conivas
cefpdence,cefpodence
ceftrij,ceftrin
aceyo,aceyo
rivasigmine,rivastigmine
svisera,avisera
veryfit,beryfit
cipri,ciprin
albaac,albanac
citsal,cistal
clavtek,clavtek
azomex,azonex
cefuutab,cefutab
amitdic,amitric
amizure,amisure
acemm,aciemm
piperazine,piperazine
ikable,amikable
amoxiticz,amoxitica
acneerem,acnerem
amonc,amonic
alttuss,altuss
clomidur,clomisur
coldivih,coldivin
cozflox,cosflox
bend,albend
dlin,clin
bejisol,bemisol
fluvpxamine,fluvoxamine
cardiiril,cardiril
colitabb,colitab
becaplermij,becaplermin
cufevet,cufever
cefkone,cefione
coxinneb,coxineb
appyp,appcyp
aallert,allert
aricodm,aricdom
cifotry,cirotry
cefgaets,cefgates
deam,dexam
caddiclin,cardiclin
angmeox,angemox
synaford,dynaford
lactoee,lactose
amphopyn,ampholyn
cirroxime,ciroxime
cagccort,cagcort
blosabe,blosave
clopsm,clopam
aoero,alero
acponac,aclonac
atorzeql,atorzeal
alixoxime,alidoxime
awtemizole,astemizole
opiprakol,opipramol
briiopt,briopt
qdilin,adilin
cepitel,cepotel
pharid,alpharid
escure,descure
alkavs,alkavis
wceeforte,aceeforte
atnem,antem
qtenowal,atenowal
bruzpaz,bruspaz
tuaifenesin,guaifenesin
curassore,curasore
choicexlav,choiceclav
biohest,biogest
bitflos,bitflox
budecel,budecel
aforsim,atorsim
bipdil,biodil
carpeka,carpela
amef,amcef
biodeh,bioden
bdotouch,brotouch
capsylzte,capsylate
eapatab,dapatab
alticwf,alticef
cedoon,cedon
alodyne,alodyne
acex,acfex
clocain,clocain
crktizyme,critizyme
ascaj,ascam
coostrim,costrim
desaro,cesaro
acidnic,acidnix
rbivapride,brivapride
bactoufll,bactofull
brraxpan,braxpan
arismool,arismol
cairzen,carizen
acpwkn,acpwin
aldoah,aldosh
corw,core
cherrtlab,cherrylab
aboc,abof
bxiori,bixori
biomlo,biomol
ciinamica,cinamica
cotnivel,cognivel
clopves,clopvex
aufate,autfate
cwfpoxim,cefpoxim
ceflone,ceflone
snvimox,anvimox
boztean,bozetan
zbnerv,abnerv
gevert,bevert
apter,apter
cifinoot,citinoot
azekon,azelon
alhrox,althrox
betarox,betarox
asgrate,astrate
cctzone,ctzone
amageen,amagen
bronchosafs,bronchosafe
annsicalm,ansicalm
wlwopil,alwopil
xefamet,cefamet
aaudoxic,audoxic
amjcosh,amicosh
cetrzyl,cetrazyl
althrcoin,althrocin
chlorrbutol,chlorbutol
bitamix,bitamox
wmfil,amfil
didin,dixin
zrade,azrade
aughic,augnic
sumatriptzn,sumatriptan
azbole,abzole
mabact,ambact
ceeltranz,celtranz
closal,clobsal
cimpol,cipmol
atucron,atcuron
akkabase,alkabase
wrpilix,arpilix
vidipine,cidipine
alkspot,alkapot
ciclomage,ciclomate
carobtin,carbotin
alrzon,alrzin
odlogesic,dologesic
sceset,aceset
clavxuan,clavuxan
austiirab,austirab
becyacef,bectacef
cefin,ceflin
ddapacure,dapacure
aqdoxim,aqdoxim
acdopar,acidopar
akeplo,akello
clofarzbine,clofarabine
arzen,artzen
cebcontin,cebocontin
closeli,closeil
cceffchem,ceffchem
enclomjphene,enclomiphene
budage,budate
avonexx,avonex
clalon,clavlon
sugnic,augnic
ccortypan,cortypan
dutagwn,dutagen
agkmax,agimax
annoxid,annocid
zfzole,afzole
akuan,akuban
clobelaj,clobelan
coerm,coderm
athabon,asthabon
brposin,bropsin
abfop,abfol
alizee,alizer
cardiosin,cardioxin
dispezyme,disperzyme
azilensin,aziltensin
ckopiheart,clopiheart
xleptavin,cleptavin
baffate,bacfate
celoonac,celonac
nankast,bankast
zlcord,alcord
cefudah,cefuday
afest,arest
combiram,combitram
arsitdi,arsitri
arure,arcure
colkck,colick
astzgest,astagest
allkadac,alkadac
albideex,albidex
cerom,cefrom
atorcurw,atorcure
avasma,afasma
cwrdiovil,cardiovil
atoxymag,catoxymag
amoxviin,amoxivin
cjprojack,ciprojack
clozithh,clozith
azincrue,azincure
conicst,conicet
arkser,ariser
cetamo,cetasmo
apdebion,aprebion
bulkdose,bulldose
caogab,capgab
axohum,axonum
brofistt,brofist
cyclptak,cyclotak
ceruday,cefuday
bontkr,bontor
pyridoatigmine,pyridostigmine
wnaglob,anaglob
azin,azon
clavioect,clavilect
bkocan,biocan
tciq,ctiq
axtrinib,adtrinib
avnnd,avnd
ceftian,ceftrian
cefeazone,cefrazone
maphotret,amphotret
coxw,coxwin
bengsl,bengel
cyapton,cyaptin
coldkvin,coldivin
qllocid,allocid
aizasv,aziasv
zziyug,aziyug
cefodije,cefodime
cifaa,cifa
vloper,cloper
cervirpime,cerviprime
azeocn,azecon
clovitsa,clovista
clvate,clovate
azituer,aziture
athifo,athiro
alenvoxx,alenvox
cefoyud,cefogud
ceftozecct,ceftozect
defnorm,cefnorm
cpbaliv,cobaliv
qmoxreen,amoxreen
cefroc,cefrocef
beeldv,beelev
cefrocil,ceftocil
bupickrt,bupicort
deprah,depran
clarited,claritee
carmyther,carmuther
aciphylkn,aciphylin
brukol,brumol
clycin,clycin
clijdol,clindol
cedtiva,ceftiva
clavinox,clavimox
cardkbeta,cardibeta
cekofa,cekoda
cardiskp,cardisip
catisoma,carisoma
ctrte,ctrate
cnidom,cindom
cetrivva,cetriva
actodet,actocet
cdatazo,cadtazo
vghest,cghest
atotaj,atoraj
cadnrox,candrox
cuymospas,chymospas
bokntil,boontil
arlarab,arkarab
betainf,betanif
trolac,citrolac
ahgiotensin,angiotensin
cedzoon,cefzoon
bioxxon,bioxon
alttam,altram
banohisst,banohist
atodgen,atorgen
abomool,abomol
aguuka,auguka
methylphenidaate,methylphenidate
aurifold,auricold
ciposia,ciprosia
capsaj,capsan
cerbofaat,cerbofast
oaliplatin,oxaliplatin
cadiflak,cadiflam
ciilapen,cilapen
aziilid,azilid
nifeedipine,nifedipine
cirab,citrab
ccixim,cfixim
artrdel,artedel
folirest,colirest
cadicrut,cadicrit
strite,atrite
cylomax,cyclomax
aazitome,azitome
coabroz,cobaroz
bizlp,bizlo
cavidon,cavidin
carvdl,carvdol
citaripp,citarip
aexi,aedi
beeceftaa,beecefta
brzkke,brakke
cebandx,cebanex
amiifru,amifru
alvenzole,albenzole
bettacef,betacef
azilen,azileb
avarux,avarux
amikaemd,amikamed
ethwmsylate,ethamsylate
amoxhjet,amoxyjet
arthirid,arthorid
xezin,cezin
cefoxie,cefoxid
altraady,altraday
cdprol,cadprol
ztorvaliz,atorvaliz
acongset,acongest
alqiin,alquin
clintaee,clintase
anfy,andy
fedrin,cedrin
xaipod,axipod
cloxmkx,cloxmox
alpphacath,alphacath
pitum,ampitum
cohalan,cobalan
btweov,btwelv
azirro,aziro
codtcis,cortcis
cpldest,coldest
acdiloc,afdiloc
azivotal,azivital
diclozoone,diclozone
amicni,amicin
alufcal,alfucal
vetasol,betasol
acelrole,aceprole
cmidron,cimdron
aslev,aslevo
atimyco,antimyco
diabexx,diabex
arabxit,aranxit
angin,anginil
dapzgreat,dapagreat
clauvxan,clavuxan
amitva,amtiva
allrits,allrite
fiprolone,ciprolone
cittafro,citafro
coxccure,coxcure
bdacit,bdaxit
ceviccim,cevicim
abicort,anicort
azifoort,azifort
bactioime,bactipime
cippromid,cipromid
vimet,bimet
cinazc,cinazac
doxkmax,doxomax
cefros,cetros
akud,akuday
armol,admol
apinnex,apinex
fhemodoc,chemodoc
asiboc,asibloc
clomejtin,clomentin
broecillin,brodcillin
availdef,availcef
atmej,atmen
amboxyy,amboxy
adreenor,adrenor
askapyfin,askapyrin
cantf,cantof
cimipsect,cimispect
artinix,artinix
gidol,agidol
camrjk,camrik
bruutaline,brutaline
cenrol,cenorol
biopjarcef,biopharcef
xuopil,duopil
tarluprost,tafluprost
bjodep,biodep
bethdr,bether
cojee,conee
azepreds,azepress
burdef,burcef
qmoclox,amoclox
anrogel,androgel
bclooz,bcloz
wclodase,aclodase
hilanx,bilanx
cotvyn,cofvyn
acivictod,acivictor
abtates,abgates
amizoe,amizole
xoloprep,coloprep
genpro,benpro
acmegkim,acmeglim
clmez,clomez
ciptotab,ciprotab
ceffexy,cefexy
blnacid,blancid
avidnozen,avidonzen
clocic,clovic
amaxine,amaxime
amlclav,amoclav
appeuill,appehill
codifresj,codifresh
curikoff,curikof
actqpod,actapod
bikmox,brikmox
ailoc,aniloc
coldsar,coldwar
amni,amnip
ipipol,clipipol
brocnocet,broncocet
cefbud,cefbid
vidid,bidid
bxicim,bxicom
ditivish,citivish
albeyrue,albetrue
basuvine,basugine
blaxmie,blaxime
amfriz,amtriz
wzikab,azikab
lobikem,clobikem
aipro,azipro
wbciximab,abciximab
axocol,axocold
cozaedf,cozadef
cefiylow,cefiglow
broca,brocad
cloeeil,closeil
qnitam,anitam
bakklot,baklot
camef,calmef
avvif,avcif
candlo,canflo
acutivs,acutiva
cosscodin,coscodin
alcloxe,alcloxd
alodryo,alodryl
cibsi,cibis
almant,almantin
clsvmark,clavmark
baronit,baronite
cepoksm,cepokem
cetirite,cetirite
wrtunit,artunit
azimmira,azimira
caostar,acostar
cqrmy,carmy
atofva,atorva
cyodine,cytodine
atmoaril,atmosril
aijack,amijack
acdeen,aceden
ocxy,clocxy
caadzine,cadzine
acoflox,adoflox
clvomax,clavomax
aziooco,aziloco
nnarest,cinnarest
cefiplx,cefiplex
pirfenidonw,pirfenidone
anyizaar,angizaar
xlavlab,clavlab
bioozi,biozi
azilamh,azilamb
mbihext,combihext
wcitech,acitech
clogal,diclogal
avonirr,avonir
amlxprl,amoxprl
aridux,aridix
adgra,asgra
cafta,cafta
acini,acinita
aacicon,acicon
aaropat,aropat
azidri,azidrive
btiv,briv
griwin,briwin
azcild,azcold
cycloran,cycloran
aztna,aztan
bupoban,buproban
diclaogma,dicloagma
awnadasr,awnadase
aikeen,aiken
malosyn,amlosyn
clospax,clospas
dazigate,cazigate
cypropes,cypropex
azitcure,azithcure
amylmetaceesol,amylmetacresol
cdpolab,cepolab
alkin,almin
cyppoc,cyploc
allraabe,allrabe
pentoxiflline,pentoxifylline
bitsin,bitson
defloc,deflock
arit,arti
drrocox,drocox
wsthon,asthon
cinno,cinon
cornom,cornim
azfsx,azfex
cevisa,cefisa
cixost,cuxost
amosysain,amoxysain
athzoo,athzol
anirest,anirest
alce,alcec
cikentra,cilentra
axtcalm,actcalm
bupaun,bupain
zsthin,asthin
zrterolane,arterolane
cwlfee,celfee
amjclax,amiclax
caffage,cafage
azisod,azisid
vortijesik,cortijesik
